,Player,VORP_projection
166,torrey craig,[0.70588673]
167,oshae brissett,[0.5346758]
168,jeremy lamb,[1.51913868]
169,domantas sabonis,[2.11837695]
170,lance stephenson,[-0.36418162]
171,terry taylor,[0.14945119]
172,myles turner,[1.39073048]
173,goga bitadze,[0.74868947]
174,isaiah jackson,[0.49187306]
175,reggie jackson,[1.13391407]
176,eric bledsoe,[0.57747853]
177,jay scrubb,[-0.62099802]
178,luke kennard,[0.663084]
179,terance mann,[0.87709767]
180,xavier moon,[-0.19297068]
181,paul george,[3.01723437]
182,marcus morris,[0.23505666]
183,brandon boston,[-0.66380075]
184,nicolas batum,[1.77595508]
185,amir coffey,[0.70588673]
186,justise winslow,[0.14945119]
187,ivica zubac,[1.21951954]
188,serge ibaka,[0.4062676]
189,isaiah hartenstein,[2.11837695]
190,russell westbrook,[0.19225393]
191,avery bradley,[-0.15016795]
192,kendrick nunn,[0.87709767]
193,malik monk,[0.7914922]
194,austin reaves,[1.13391407]
195,wayne ellington,[0.23505666]
196,talen horton-tucker,[-0.10736521]
197,trevor ariza,[0.27785939]
198,kent bazemore,[0.83429494]
199,lebron james,[3.1884453]
200,carmelo anthony,[0.14945119]
201,stanley johnson,[0.19225393]
202,anthony davis,[2.63200976]
203,dwight howard,[0.74868947]
204,deandre jordan,[-0.66380075]
205,ja morant,[1.77595508]
206,tyus jones,[1.09111134]
207,deanthony melton,[1.94716602]
208,desmond bane,[1.39073048]
209,john konchar,[1.51913868]
210,jarrett culver,[0.70588673]
211,dillon brooks,[1.60474415]
212,ziaire williams,[-1.09182809]
213,xavier tillman,[0.83429494]
214,jaren jackson,[1.56194141]
215,kyle anderson,[1.00550587]
216,santi aldama,[-0.70660349]
217,steven adams,[1.69034961]
218,brandon clarke,[1.47633595]
219,killian tillie,[0.14945119]
220,kyle lowry,[2.28958789]
221,max strus,[1.30512501]
222,gabe vincent,[1.00550587]
223,tyler herro,[1.09111134]
224,duncan robinson,[1.13391407]
225,kyle guy,[0.36346486]
226,jimmy butler,[2.9316289]
227,caleb martin,[1.56194141]
228,udonis haslem,[-1.04902536]
229,pj tucker,[0.87709767]
230,kz okpala,[-0.40698435]
231,dewayne dedmon,[0.74868947]
232,bam adebayo,[1.47633595]
233,omer yurtseven,[0.57747853]
234,chris silva,[-0.06456248]
235,jrue holiday,[2.76041796]
236,wesley matthews,[1.21951954]
237,george hill,[1.39073048]
238,grayson allen,[1.00550587]
239,donte divincenzo,[1.64754688]
240,rodney hood,[-0.32137888]
241,khris middleton,[1.73315235]
242,pat connaughton,[1.30512501]
243,langston galloway,[0.32066213]
