,Date,Away_Team,Away_Prob,Home_Team,Home_Prob,Home_Odds,Away_Odds,Home_Prob_Implied,Away_Prob_Implied,Home_Prob_Diff,Away_Prob_Diff,Home_Bet_Size,Away_Bet_Size,Home_Bet,Away_Bet,Potential_Payoff,Home_Prob_Adjusted,Away_Prob_Adjusted,Home_Prob_Combined,Away_Prob_Combined,Home_Prob_Diff_Combined,Away_Prob_Diff_Combined,Home_Bet_Size_Combined,Away_Bet_Size_Combined,Home_Bet_Combined,Away_Bet_Combined,Potential_Payoff_Combined
0,2022-03-15,Brooklyn Nets,0.69,Orlando Magic,0.31,410.0,-550.0,0.19607843137254904,0.8461538461538461,0.11392156862745095,-0.1561538461538462,0.014170731707317075,0,1292.9605717544314,0.0,5301.138344193168,0.3726707096003021,0.6273292903996979,0.34133535480015104,0.6586646451998489,0.145256923427602,-0.18748920095399724,0.018068544133677318,0,1410.3496863457783,0.0,5782.43371401769
1,2022-03-15,Memphis Grizzlies,0.68,Indiana Pacers,0.32,250.0,-310.0,0.2857142857142857,0.7560975609756098,0.03428571428571431,-0.07609756097560971,0.004800000000000004,0,437.95979435675093,0.0,1094.8994858918772,0.2308239191713497,0.7691760808286503,0.2754119595856749,0.7245880404143252,-0.010302326128610817,-0.03150952056128453,0.0,0,0.0,0.0,0.0
2,2022-03-15,Detroit Pistons,0.11,Miami Heat,0.89,-900.0,610.0,0.9,0.14084507042253522,-0.010000000000000009,-0.030845070422535217,0.0,0,0.0,0.0,0.0,0.970900186758208,0.029099813241792005,0.930450093379104,0.069549906620896,0.030450093379103982,-0.07129516380163922,0.030450093379103992,0,2376.7980047919186,0.0,264.0886671991021
3,2022-03-15,Phoenix Suns,0.62,New Orleans Pelicans,0.38,190.0,-230.0,0.3448275862068966,0.696969696969697,0.03517241379310343,-0.07696969696969702,0.005368421052631578,0,489.8234542147867,0.0,930.6645630080947,0.2749248306519824,0.7250751693480175,0.3274624153259912,0.6725375846740087,-0.01736517088090539,-0.024432112295688313,0.0,0,0.0,0.0,0.0
